Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total	sim_seconds
specsjeng_a	10.270793	0.121835	0.000020	0.999910	0.513540
specsjeng_b	10.270520	0.121833	0.000020	0.999948	0.513526
specsjeng_d	10.270520	0.121831	0.000020	0.999976	0.513526
specsjeng_g	10.270520	0.121831	0.000020	0.999978	0.513526
specsjeng_h	10.270355	0.121831	0.000020	0.999978	0.513518
specsjeng_i	10.272934	0.121831	0.000020	0.999978	0.513647
specsjeng_j	10.273254	0.121831	0.000020	0.999978	0.513663
specsjeng_l	10.265417	0.121831	0.000020	0.999978	0.513271
specsjeng_m	10.265352	0.121831	0.000020	0.999978	0.513268
specsjeng_n	10.265139	0.121831	0.000020	0.999978	0.513257
specsjeng_q	6.795891	0.060918	0.000015	0.999949	0.339795
specsjeng_y	6.786081	0.060918	0.000015	0.999949	0.339304
specsjeng_x	6.780163	0.060918	0.000015	0.999949	0.339008
