Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total	sim_seconds
speclibm_a	3.493415	0.060972	0.000094	0.999936	0.174671
speclibm_c	3.493415	0.060972	0.000094	0.999944	0.174671
speclibm_g	3.493415	0.060972	0.000094	0.999945	0.174671
speclibm_j	3.495444	0.060972	0.000094	0.999944	0.174772
speclibm_k	3.493415	0.060972	0.000094	0.999944	0.174671
speclibm_l	3.489639	0.060972	0.000094	0.999944	0.174482
speclibm_m	3.489639	0.060972	0.000094	0.999944	0.174482
speclibm_n	3.489639	0.060972	0.000094	0.999944	0.174482
speclibm_o	3.489639	0.060972	0.000094	0.999944	0.174482
speclibm_y	2.576667	0.030487	0.000112	0.999799	0.128833
